Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
24,College of the Holy Cross,college-of-the-holy-cross,Worcester, Massachusetts,Private,Non-Profit,Midsize City,46000.0,43,88,49,39.6,,,,2855,312,10,23,21,11,794,29.492119089316983,50630,13690,66220,36963
25,Bowdoin College,bowdoin-college,Brunswick, Maine,Private,Non-Profit,Small Town,42000.0,10,83,50,13.6,,,,1816,244,9,48,33,15,637,37.77533039647577,51848,14132,68070,41143
26,Columbia University in the City of New York,columbia-university-in-the-city-of-new-york,New York, New York,Private,Non-Profit,Large City,53000.0,21,47,54,6.6,,,32.0,8170,3317,6,90,70,21,2474,63.23133414932681,51640,13644,68631,49185
27,Emory University,emory-university,Atlanta, Georgia,Private,Non-Profit,Large Suburb,43000.0,18,74,40,22.0,,,32.0,6937,1311,9,73,52,21,2405,59.37725241458844,49392,13894,66950,38213
28,Carnegie Mellon University,carnegie-mellon-university,Pittsburgh, Pennsylvania,Private,Non-Profit,Large City,54000.0,13,75,52,22.2,,,34.0,6533,1608,10,130,83,23,1622,71.86591152609826,53910,13784,70094,38163
29,Amherst College,amherst-college,Amherst, Massachusetts,Private,Non-Profit,Large Suburb,46000.0,11,93,51,12.9,,,33.0,1836,257,8,40,34,16,666,56.20915032679738,54310,14190,71300,49467
30,Olin College,olin-college,Needham, Massachusetts,Private,Non-Profit,Large Suburb,,13,74,52,13.4,,,34.0,380,62,7,3,3,1,82,51.31578947368421,49280,16300,67633,32599
31,California Institute of Technology,california-institute-of-technology,Pasadena, California,Private,Non-Profit,Midsize City,60000.0,29,89,55,7.7,,,34.0,961,376,3,28,24,11,254,72.21644120707595,49908,14796,68901,41408
32,Bucknell University,bucknell-university,Lewisburg, Pennsylvania,Private,Non-Profit,Small Town,47000.0,17,97,49,31.1,,,30.0,3611,425,9,61,49,18,1040,26.114649681528658,53986,13150,70125,29783
33,University of Virginia - Main Campus,university-of-virginia-main-campus,Charlottesville, Virginia,Public,,Small Suburb,46000.0,70,94,45,27.4,,,31.0,16655,1577,15,50,48,22,5033,41.621134794356045,16155,11220,31515,21171
34,Colgate University,colgate-university,Hamilton, New York,Private,Non-Profit,Small Town,47000.0,27,100,45,28.1,,,32.0,2882,315,9,50,39,16,882,35.42678695350451,53980,13520,69860,45108
35,University of Michigan - Ann Arbor,university-of-michigan-ann-arbor,Ann Arbor, Michigan,Public,,Midsize City,46000.0,54,83,50,26.5,,,32.0,29821,4644,11,121,81,23,7892,39.841051607927305,15761,11198,30461,18751
36,Babson College,babson-college,Wellesley, Massachusetts,Private,Non-Profit,Large Suburb,,26,73,52,24.2,,,30.0,2342,278,13,1,1,1,541,63.364645602049535,49664,15838,68432,36717
